Column1;ProductType;LoadFamily;LoadLevel;ShearFamily;ShearLevel;Height;TopCover;ProductLength;f__ck;MRdPos;MRdNeg;VRdPos;VRdNeg;VRdMax;NRd;HRd;TanALPHA;SpringStiff;LambdaEq;InsThickness;ProductFamily;AnchoLength;minLength;DoubleMoment;DoubleShear;Type;;;;;;;;;;;;;;;;;;
65;TEBEA CM3-V1-CC35-H200;CM;CM3;V;V1;200;35;1000;20;0;-27606376.64;41784;0;192000;0;0;0.650018582;4247;0.129586439;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
66;TEBEA CM3-V1-CC35-H210;CM;CM3;V;V1;210;35;1000;20;0;-29810000;41784;0;204000;0;0;0.597379194;4990;0.125320418;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
67;TEBEA CM3-V1-CC35-H220;CM;CM3;V;V1;220;35;1000;20;0;-32010000;41784;0;216000;0;0;0.551657641;5803;0.121442218;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
68;TEBEA CM3-V1-CC35-H230;CM;CM3;V;V1;230;35;1000;20;0;-34210000;41784;0;228000;0;0;0.511592848;6687;0.117901252;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
69;TEBEA CM3-V1-CC35-H240;CM;CM3;V;V1;240;35;1000;20;0;-36410000;41784;0;240000;0;0;0.476159421;7647;0.114655366;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
70;TEBEA CM3-V1-CC35-H250;CM;CM3;V;V1;250;35;1000;20;0;-38610000;41784;0;252000;0;0;0.444565673;8685;0.111669151;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
71;TEBEA CM3-V2-CC35-H160;CM;CM3;V;V2;160;35;1000;20;0;-18260493.68;62676;0;144000;0;0;0.950527488;1921;0.160126057;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
72;TEBEA CM3-V2-CC35-H170;CM;CM3;V;V2;170;35;1000;20;0;-20534657.89;62676;0;156000;0;0;0.851724685;2411;0.153059819;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
73;TEBEA CM3-V2-CC35-H180;CM;CM3;V;V2;180;35;1000;20;0;-22848360.38;62676;0;168000;0;0;0.771697774;2961;0.146778717;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
74;TEBEA CM3-V2-CC35-H190;CM;CM3;V;V2;190;35;1000;20;0;-25204600.26;62676;0;180000;0;0;0.705569899;3572;0.141158785;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
75;TEBEA CM3-V2-CC35-H200;CM;CM3;V;V2;200;35;1000;20;0;-27606376.64;62676;0;192000;0;0;0.650018582;4247;0.136100846;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
76;TEBEA CM3-V2-CC35-H210;CM;CM3;V;V2;210;35;1000;20;0;-29810000;62676;0;204000;0;0;0.597379194;4990;0.131524615;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
77;TEBEA CM3-V2-CC35-H220;CM;CM3;V;V2;220;35;1000;20;0;-32010000;62676;0;216000;0;0;0.551657641;5803;0.127364405;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
78;TEBEA CM3-V2-CC35-H230;CM;CM3;V;V2;230;35;1000;20;0;-34210000;62676;0;228000;0;0;0.511592848;6687;0.123565953;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
79;TEBEA CM3-V2-CC35-H240;CM;CM3;V;V2;240;35;1000;20;0;-36410000;62676;0;240000;0;0;0.476159421;7647;0.120084038;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
80;TEBEA CM3-V2-CC35-H250;CM;CM3;V;V2;250;35;1000;20;0;-38610000;62676;0;252000;0;0;0.444565673;8685;0.116880677;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
81;TEBEA CM3-V3-CC35-H160;CM;CM3;V;V3;160;35;1000;20;0;-18260493.68;97932;0;144000;0;0;0.950527488;1921;0.173867383;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
82;TEBEA CM3-V3-CC35-H170;CM;CM3;V;V3;170;35;1000;20;0;-20534657.89;97932;0;156000;0;0;0.851724685;2411;0.165992832;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
83;TEBEA CM3-V3-CC35-H180;CM;CM3;V;V3;180;35;1000;20;0;-22848360.38;97932;0;168000;0;0;0.771697774;2961;0.15899323;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
84;TEBEA CM3-V3-CC35-H190;CM;CM3;V;V3;190;35;1000;20;0;-25204600.26;97932;0;180000;0;0;0.705569899;3572;0.152730428;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
85;TEBEA CM3-V3-CC35-H200;CM;CM3;V;V3;200;35;1000;20;0;-27606376.64;97932;0;192000;0;0;0.650018582;4247;0.147093907;120;TEBEA;;500;FALSE;FALSE;Slab-to-Slab;;;;;;;;;;;;;;;;;;
